Arquivo,Resumo,Recursos Kubernetes,Observações
1-orion.yaml,FIWARE Orion Context Broker,"Deployment, Service, HPA",Broker de contexto IoT com autoescalonamento
2-frontend.yaml,Frontend web com Redis,Deployment,Interface web com erros de sintaxe intencionais
3-mysql.yaml,Base de dados MySQL,Nenhum,Arquivo vazio para testes
4-vllm.yaml,Servidor de inferência AI,Deployment,LLM Gemma com GPU usando vLLM
5-nginx.yaml,Servidor web Nginx,"Service, ReplicationController",Proxy reverso com SSL e volumes
6-selenium.yaml,Hub de testes automatizados,"Deployment, Service",Grid para testes web automatizados
7-elasticsearch.yaml,Motor de busca distribuído,"Service, ReplicationController",Elasticsearch com ServiceAccount
8-newrelic.yaml,Agente de monitoramento,DaemonSet,Monitoramento de infraestrutura em todos os nós
9-storm.yaml,Processamento de dados em tempo real,Deployment,Apache Storm worker nodes
10-cassandra.yaml,Base de dados NoSQL distribuída,StatefulSet,Cassandra cluster com armazenamento persistente
